fp_page,page_type,ecr_type,player,id,pos,team,ecr,sd,best,worst,sportsdata_id,player_filename,yahoo_id,cbs_id,player_owned_avg,player_owned_espn,player_owned_yahoo,player_image_url,player_square_image_url,rank_delta,bye,mergename,scrape_date,tm,merge_name,fp_id,fantasypros_id,gsis_id,sleeper_id,birthdate,draft_year,position,age
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Ja'Marr Chase,19788,WR,CIN,1.49,0.88,1,4,,jamarr-chase.php,,,99.9,,,,,,6.0,JaMarr Chase,2026-09-04,CIN,jamarr chase,19788,19788.0,00-0036900,7564.0,2000-03-01,2021.0,WR,26.5160848733744
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Jahmyr Gibbs,22968,RB,DET,2.43,1.22,1,5,,jahmyr-gibbs.php,,,99.8,,,,,,6.0,Jahmyr Gibbs,2026-09-04,DET,jahmyr gibbs,22968,22968.0,00-0039139,9221.0,2002-03-20,2023.0,RB,24.465434633812457
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Puka Nacua,23180,WR,LAR,3.43,1.62,1,9,,puka-nacua.php,,,99.8,,,,,,11.0,Puka Nacua,2026-09-04,LAR,puka nacua,23180,23180.0,00-0039075,9493.0,2001-05-29,2023.0,WR,25.27310061601643
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Bijan Robinson,23133,RB,ATL,4.19,1.3,2,5,,bijan-robinson.php,,,99.8,,,,,,11.0,Bijan Robinson,2026-09-04,ATL,bijan robinson,23133,23133.0,00-0038542,9509.0,2002-01-30,2023.0,RB,24.59958932238193
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Jaxon Smith-Njigba,23070,WR,SEA,4.61,1.44,1,9,,jaxon-smith-njigba.php,,,99.8,,,,,,11.0,Jaxon Smith-Njigba,2026-09-04,SEA,jaxon smith-njigba,23070,23070.0,00-0038543,9488.0,2002-02-14,2023.0,WR,24.55852156057495
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Amon-Ra St. Brown,19799,WR,DET,5.4,1.29,3,9,,amonra-stbrown.php,,,99.9,,,,,,6.0,Amon-Ra St Brown,2026-09-04,DET,amon-ra st brown,19799,19799.0,00-0036963,7547.0,1999-10-24,2021.0,WR,26.869267624914443
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,CeeDee Lamb,19202,WR,DAL,9.03,1.69,6,15,,ceedee-lamb.php,,,99.8,,,,,,14.0,CeeDee Lamb,2026-09-04,DAL,ceedee lamb,19202,19202.0,00-0036358,6786.0,1999-04-08,2020.0,WR,27.41409993155373
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Justin Jefferson,19236,WR,MIN,9.17,2.9,4,29,,justin-jefferson.php,,,99.8,,,,,,6.0,Justin Jefferson,2026-09-04,MIN,justin jefferson,19236,19236.0,00-0036322,6794.0,1999-06-16,2020.0,WR,27.225188227241617
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Christian McCaffrey,16393,RB,SF,9.58,4.48,5,24,,christian-mccaffrey.php,,,99.8,,,,,,8.0,Christian McCaffrey,2026-09-04,SFO,christian mccaffrey,16393,16393.0,00-0033280,4034.0,1996-06-07,2017.0,RB,30.247775496235455
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Jonathan Taylor,19217,RB,IND,11.82,5.05,6,33,,jonathan-taylor.php,,,99.8,,,,,,13.0,Jonathan Taylor,2026-09-04,IND,jonathan taylor,19217,19217.0,00-0036223,6813.0,1999-01-19,2020.0,RB,27.630390143737166
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Drake London,23163,WR,ATL,13.17,3.46,8,26,,drake-london.php,,,99.6,,,,,,11.0,Drake London,2026-09-04,ATL,drake london,23163,23163.0,00-0037238,8112.0,2001-07-24,2022.0,WR,25.11978097193703
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,A.J. Brown,18218,WR,NE,13.73,5.45,6,40,,aj-brown.php,,,99.7,,,,,,11.0,AJ Brown,2026-09-04,NEP,aj brown,18218,18218.0,00-0035676,5859.0,1997-06-30,2019.0,WR,29.1854893908282
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,James Cook III,22958,RB,BUF,14.97,5.66,7,31,,james-cook.php,,,99.8,,,,,,7.0,James Cook,2026-09-04,BUF,james cook,22958,22958.0,00-0037248,8138.0,1999-09-25,2022.0,RB,26.94866529774127
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Nico Collins,20130,WR,HOU,16.0,3.72,9,28,,nico-collins.php,,,99.8,,,,,,8.0,Nico Collins,2026-09-04,HOU,nico collins,20130,20130.0,00-0036554,7569.0,1999-03-19,2021.0,WR,27.468856947296374
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Chase Brown,25324,RB,CIN,17.05,5.98,7,34,,chase-brown.php,,,99.5,,,,,,6.0,Chase Brown,2026-09-04,CIN,chase brown,25324,25324.0,00-0038597,9224.0,2000-03-21,2023.0,RB,26.46132785763176
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Chris Olave,20111,WR,NO,17.37,5.9,9,36,,chris-olave.php,,,99.3,,,,,,8.0,Chris Olave,2026-09-04,NOS,chris olave,20111,20111.0,00-0037239,8144.0,2000-06-27,2022.0,WR,26.193018480492814
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Trey McBride,22936,TE,ARI,18.5,5.19,16,35,,trey-mcbride.php,,,99.7,,,,,1.0,14.0,Trey McBride,2026-09-04,ARI,trey mcbride,22936,22936.0,00-0037744,8130.0,1999-11-22,2022.0,TE,26.78986995208761
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,George Pickens,22963,WR,DAL,20.43,5.82,9,40,,george-pickens.php,,,99.7,,,,,,14.0,George Pickens,2026-09-04,DAL,george pickens,22963,22963.0,00-0037247,8137.0,2001-03-04,2022.0,WR,25.508555783709788
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Brock Bowers,22955,TE,LV,21.2,5.51,11,57,,brock-bowers.php,,,99.8,,,,,-1.0,13.0,Brock Bowers,2026-09-04,LVR,brock bowers,22955,22955.0,00-0039338,11604.0,2002-12-13,2024.0,TE,23.731690622861056
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,De'Von Achane,23136,RB,MIA,21.49,6.71,11,39,,devon-achane.php,,,99.8,,,,,,6.0,DeVon Achane,2026-09-04,MIA,devon achane,23136,23136.0,00-0039040,9226.0,2001-10-13,2023.0,RB,24.89801505817933
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,DeVonta Smith,19222,WR,PHI,22.72,7.16,8,45,,devonta-smith.php,,,99.4,,,,,,10.0,DeVonta Smith,2026-09-04,PHI,devonta smith,19222,19222.0,00-0036912,7525.0,1998-11-14,2021.0,WR,27.811088295687885
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Saquon Barkley,17240,RB,PHI,23.6,6.02,10,41,,saquon-barkley.php,,,99.8,,,,,,10.0,Saquon Barkley,2026-09-04,PHI,saquon barkley,17240,17240.0,00-0034844,4866.0,1997-02-09,2018.0,RB,29.571526351813826
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Malik Nabers,25409,WR,NYG,24.25,8.56,11,48,,malik-nabers.php,,,99.4,,,,,,8.0,Malik Nabers,2026-09-04,NYG,malik nabers,25409,25409.0,00-0039337,11632.0,2003-07-28,2024.0,WR,23.110198494182068
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Kenneth Walker III,23021,RB,KC,24.95,7.61,11,50,,kenneth-walker-rb.php,,,99.5,,,,,,5.0,Kenneth Walker,2026-09-04,KCC,kenneth walker,23021,23021.0,00-0038134,8151.0,2000-10-20,2022.0,RB,25.87816563997262
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Omarion Hampton,25395,RB,LAC,25.4,7.4,7,43,,omarion-hampton.php,,,99.7,,,,,,7.0,Omarion Hampton,2026-09-04,LAC,omarion hampton,25395,25395.0,00-0040666,12507.0,2003-03-16,2025.0,RB,23.477070499657767
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Josh Allen,17298,QB,BUF,25.77,3.01,21,43,,josh-allen-qb.php,,,99.9,,,,,,7.0,Josh Allen,2026-09-04,BUF,josh allen,17298,17298.0,00-0034857,4984.0,1996-05-21,2018.0,QB,30.2943189596167
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Rashee Rice,23113,WR,KC,27.1,10.14,11,68,,rashee-rice.php,,,99.2,,,,,,5.0,Rashee Rice,2026-09-04,KCC,rashee rice,23113,23113.0,00-0039067,10229.0,2000-04-22,2023.0,WR,26.373716632443532
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Ashton Jeanty,25989,RB,LV,28.95,8.75,7,53,,ashton-jeanty.php,,,99.7,,,,,,13.0,Ashton Jeanty,2026-09-04,LVR,ashton jeanty,25989,25989.0,00-0040122,12527.0,2003-12-02,2025.0,RB,22.76249144421629
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Zay Flowers,22916,WR,BAL,29.64,7.73,12,48,,zay-flowers.php,,,99.0,,,,,,13.0,Zay Flowers,2026-09-04,BAL,zay flowers,22916,22916.0,00-0039064,9997.0,2000-09-11,2023.0,WR,25.984941820670773
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Garrett Wilson,23072,WR,NYJ,30.28,7.2,12,52,,garrett-wilson.php,,,97.9,,,,,,13.0,Garrett Wilson,2026-09-04,NYJ,garrett wilson,23072,23072.0,00-0037740,8146.0,2000-07-22,2022.0,WR,26.12457221081451
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Lamar Jackson,17233,QB,BAL,31.84,9.34,25,66,,lamar-jackson.php,,,99.7,,,,,,13.0,Lamar Jackson,2026-09-04,BAL,lamar jackson,17233,17233.0,00-0034796,4881.0,1997-01-07,2018.0,QB,29.661875427789184
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Ladd McConkey,26122,WR,LAC,33.83,8.24,15,52,,ladd-mcconkey.php,,,98.3,,,,,,7.0,Ladd McConkey,2026-09-04,LAC,ladd mcconkey,26122,26122.0,00-0039915,11635.0,2001-11-01,2024.0,WR,24.84599589322382
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Jaylen Waddle,19790,WR,DEN,33.99,8.09,18,60,,jaylen-waddle.php,,,97.9,,,,,,10.0,Jaylen Waddle,2026-09-04,DEN,jaylen waddle,19790,19790.0,00-0036613,7526.0,1998-11-25,2021.0,WR,27.78097193702943
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Tetairoa McMillan,25417,WR,CAR,35.88,7.26,15,52,,tetairoa-mcmillan.php,,,98.8,,,,,,5.0,Tetairoa McMillan,2026-09-04,CAR,tetairoa mcmillan,25417,25417.0,00-0040124,12526.0,2003-04-05,2025.0,WR,23.422313483915126
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Colston Loveland,26006,TE,CHI,36.28,11.7,22,85,,colston-loveland.php,,,99.7,,,,,,10.0,Colston Loveland,2026-09-04,CHI,colston loveland,26006,26006.0,00-0040126,12517.0,2004-04-09,2025.0,TE,22.409308692676248
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Tee Higgins,19211,WR,CIN,36.7,6.79,19,51,,tee-higgins.php,,,98.5,,,,,,6.0,Tee Higgins,2026-09-04,CIN,tee higgins,19211,19211.0,00-0036410,6801.0,1999-01-18,2020.0,WR,27.633127994524298
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Drake Maye,23046,QB,NE,37.1,12.33,27,79,,drake-maye.php,,,99.6,,,,,,11.0,Drake Maye,2026-09-04,NEP,drake maye,23046,23046.0,00-0039851,11564.0,2002-08-30,2024.0,QB,24.019164955509925
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Derrick Henry,15514,RB,BAL,37.64,6.99,20,50,,derrick-henry.php,,,99.7,,,,,,13.0,Derrick Henry,2026-09-04,BAL,derrick henry,15514,15514.0,00-0032764,3198.0,1994-01-04,2016.0,RB,32.67077344284736
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Breece Hall,22982,RB,NYJ,39.52,4.84,30,53,,breece-hall.php,,,98.4,,,,,,13.0,Breece Hall,2026-09-04,NYJ,breece hall,22982,22982.0,00-0038120,8155.0,2001-05-31,2022.0,RB,25.267624914442163
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Jeremiyah Love,25403,RB,ARI,40.1,7.87,23,65,,jeremiyah-love.php,,,99.4,,,,,,14.0,Jeremiyah Love,2026-09-04,ARI,jeremiyah love,25403,25403.0,00-0041027,13287.0,2005-05-31,2026.0,RB,21.267624914442163
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Emeka Egbuka,23062,WR,TB,40.74,8.3,14,68,,emeka-egbuka.php,,,98.1,,,,,,10.0,Emeka Egbuka,2026-09-04,TBB,emeka egbuka,23062,23062.0,00-0040129,12514.0,2002-10-14,2025.0,WR,23.89596167008898
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Kyren Williams,23059,RB,LAR,42.04,6.43,24,58,,kyren-williams.php,,,99.0,,,,,,11.0,Kyren Williams,2026-09-04,LAR,kyren williams,23059,23059.0,00-0037840,8150.0,2000-08-26,2022.0,RB,26.028747433264886
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Javonte Williams,22739,RB,DAL,43.43,6.56,24,61,,javonte-williams.php,,,98.8,,,,,,14.0,Javonte Williams,2026-09-04,DAL,javonte williams,22739,22739.0,00-0036997,7588.0,2000-04-25,2021.0,RB,26.365503080082135
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Joe Burrow,19196,QB,CIN,44.89,12.93,27,74,,joe-burrow.php,,,98.9,,,,,,6.0,Joe Burrow,2026-09-04,CIN,joe burrow,19196,19196.0,00-0036442,6770.0,1996-12-10,2020.0,QB,29.738535249828885
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Travis Etienne Jr.,19231,RB,NO,45.04,6.03,33,61,,travis-etienne.php,,,97.9,,,,,,8.0,Travis Etienne,2026-09-04,NOS,travis etienne,19231,19231.0,00-0036973,7543.0,1999-01-26,2021.0,RB,27.61122518822724
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Luther Burden III,27016,WR,CHI,46.7,8.12,26,71,,luther-burden-iii.php,,,95.3,,,,,,10.0,Luther Burden,2026-09-04,CHI,luther burden,27016,27016.0,00-0040735,12519.0,2003-12-12,2025.0,WR,22.73511293634497
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Terry McLaurin,18466,WR,WAS,47.68,6.1,28,68,,terry-mclaurin.php,,,96.4,,,,,,7.0,Terry McLaurin,2026-09-04,WAS,terry mclaurin,18466,18466.0,00-0035659,5927.0,1995-09-15,2019.0,WR,30.976043805612594
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Davante Adams,12123,WR,LAR,50.83,7.61,35,74,,davante-adams.php,,,97.4,,,,,,11.0,Davante Adams,2026-09-04,LAR,davante adams,12123,12123.0,00-0031381,2133.0,1992-12-24,2014.0,WR,33.700205338809035
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,DJ Moore,17265,WR,BUF,52.35,11.91,19,107,,dj-moore-wr.php,,,96.3,,,,,,7.0,DJ Moore,2026-09-04,BUF,dj moore,17265,17265.0,00-0034827,4983.0,1997-04-14,2018.0,WR,29.39630390143737
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,D'Andre Swift,19210,RB,CHI,52.39,7.81,37,77,,dandre-swift.php,,,96.2,,,,,,10.0,DAndre Swift,2026-09-04,CHI,dandre swift,19210,19210.0,00-0036275,6790.0,1999-01-14,2020.0,RB,27.644079397672826
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Jameson Williams,23677,WR,DET,52.92,9.35,35,88,,jameson-williams.php,,,95.8,,,,,,6.0,Jameson Williams,2026-09-04,DET,jameson williams,23677,23677.0,00-0037240,8148.0,2001-03-26,2022.0,WR,25.44832306639288
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Tyler Warren,26434,TE,IND,53.36,10.12,22,73,,tyler-warren.php,,,99.4,,,,,,13.0,Tyler Warren,2026-09-04,IND,tyler warren,26434,26434.0,00-0040128,12518.0,2002-05-24,2025.0,TE,24.28747433264887
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Christian Watson,23886,WR,GB,55.73,9.5,38,88,,christian-watson.php,,,92.7,,,,,,11.0,Christian Watson,2026-09-04,GBP,christian watson,23886,23886.0,00-0038124,8167.0,1999-05-12,2022.0,WR,27.32101300479124
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Bucky Irving,25981,RB,TB,56.3,8.44,41,89,,bucky-irving.php,,,97.1,,,,,2.0,10.0,Bucky Irving,2026-09-04,TBB,bucky irving,25981,25981.0,00-0039361,11584.0,2002-08-19,2024.0,RB,24.04928131416838
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Jayden Daniels,22902,QB,WAS,56.6,16.35,27,101,,jayden-daniels.php,,,98.6,,,,,,7.0,Jayden Daniels,2026-09-04,WAS,jayden daniels,22902,22902.0,00-0039910,11566.0,2000-12-18,2024.0,QB,25.71663244353183
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Cam Skattebo,27166,RB,NYG,57.0,8.64,39,80,,cam-skattebo.php,,,98.7,,,,,,8.0,Cam Skattebo,2026-09-04,NYG,cam skattebo,27166,27166.0,00-0040715,12481.0,2002-02-05,2025.0,RB,24.583162217659137
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Jalen Hurts,19275,QB,PHI,57.19,12.64,30,81,,jalen-hurts.php,,,98.7,,,,,,10.0,Jalen Hurts,2026-09-04,PHI,jalen hurts,19275,19275.0,00-0036389,6904.0,1998-08-07,2020.0,QB,28.082135523613964
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Parker Washington,23106,WR,JAC,58.52,14.49,36,109,,parker-washington.php,,,91.7,,,,,,7.0,Parker Washington,2026-09-04,JAC,parker washington,23106,23106.0,00-0038606,9487.0,2002-03-21,2023.0,WR,24.462696783025326
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Rome Odunze,25411,WR,CHI,58.87,9.6,40,91,,rome-odunze.php,,,95.7,,,,,,10.0,Rome Odunze,2026-09-04,CHI,rome odunze,25411,25411.0,00-0039919,11620.0,2002-06-03,2024.0,WR,24.26009582477755
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Mike Evans,12119,WR,SF,59.7,12.13,36,109,,mike-evans.php,,,93.2,,,,,-3.0,8.0,Mike Evans,2026-09-04,SFO,mike evans,12119,12119.0,00-0031408,2216.0,1993-08-21,2014.0,WR,33.04312114989733
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,David Montgomery,18239,RB,HOU,60.31,8.63,41,78,,david-montgomery.php,,,95.8,,,,,,8.0,David Montgomery,2026-09-04,HOU,david montgomery,18239,18239.0,00-0035685,5892.0,1997-06-07,2019.0,RB,29.248459958932237
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Quinshon Judkins,25391,RB,CLE,60.62,8.49,43,84,,quinshon-judkins.php,,,96.6,,,,,,11.0,Quinshon Judkins,2026-09-04,CLE,quinshon judkins,25391,25391.0,00-0040784,12512.0,2003-10-29,2025.0,RB,22.855578370978783
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Caleb Williams,23084,QB,CHI,65.14,11.8,31,98,,caleb-williams.php,,,95.8,,,,,,10.0,Caleb Williams,2026-09-04,CHI,caleb williams,23084,23084.0,00-0039918,11560.0,2001-11-18,2024.0,QB,24.799452429842574
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Bhayshul Tuten,27297,RB,JAC,65.97,9.9,43,89,,bhayshul-tuten.php,,,94.7,,,,,,7.0,Bhayshul Tuten,2026-09-04,JAC,bhayshul tuten,27297,27297.0,00-0040719,12490.0,2003-02-14,2025.0,RB,23.55920602327173
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Jadarian Price,27329,RB,SEA,67.49,10.42,43,99,,jadarian-price.php,,,94.2,,,,,,11.0,Jadarian Price,2026-09-04,SEA,jadarian price,27329,27329.0,00-0041512,13286.0,2003-10-09,2026.0,RB,22.910335386721425
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Carnell Tate,26009,WR,TEN,68.19,16.74,45,136,,carnell-tate.php,,,93.4,,,,,,9.0,Carnell Tate,2026-09-04,TEN,carnell tate,26009,26009.0,00-0041438,13279.0,2005-01-19,2026.0,WR,21.6290212183436
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,Marvin Harrison Jr.,23064,WR,ARI,69.24,13.21,40,110,,marvin-harrison-jr.php,,,92.8,,,,,,14.0,Marvin Harrison,2026-09-04,ARI,marvin harrison,23064,23064.0,00-0039849,11628.0,2002-08-11,2024.0,WR,24.071184120465436
/nfl/rankings/ppr-cheatsheets.php,redraft-overall,ro,TreVeyon Henderson,23065,RB,NE,70.95,9.66,50,93,,treveyon-henderson.php,,,94.4,,,,,,11.0,TreVeyon Henderson,2026-09-04,NEP,treveyon henderson,23065,23065.0,00-0040734,12529.0,2002-10-22,2025.0,RB,23.874058863791923
