player,pos,team,ecr,sd,bye,age,gsis_id,proj_ppg,exp_games,proj_pts,proj_sd,ratio,ratio_raw,raw_games,market_std_pts,replacement,vorp,vorp_rank
Ja'Marr Chase,WR,CIN,1.49,0.88,6.0,26.5160848733744,00-0036900,25.784875168720507,15.4,397.0870775982958,88.28383502812696,1.1022560963239656,1.133786709145121,49.0,360.2493820833334,195.337311092439,201.74976650585683,1
Jahmyr Gibbs,RB,DET,2.43,1.22,6.0,24.465434633812457,00-0039139,24.78720360463811,15.6,386.6803762323545,95.8725264439997,1.117017261087432,1.1234694927461673,49.0,346.17224791666666,196.1036845952354,190.5766916371191,2
Puka Nacua,WR,LAR,3.43,1.62,11.0,25.27310061601643,00-0039075,23.538254270538346,15.4,362.4891157662905,83.93424452121155,1.1004876277297935,1.1303829110328372,44.0,329.38954208333337,195.337311092439,167.15180467385153,3
Bijan Robinson,RB,ATL,4.19,1.3,11.0,24.59958932238193,00-0038542,22.877896307713563,15.6,356.8951824003316,92.60848677520596,1.1297676577375542,1.1572277847309136,51.0,315.90139791666667,196.1036845952354,160.79149780509618,4
Christian McCaffrey,RB,SF,9.58,4.48,8.0,30.24777549623545,00-0033280,22.092042390371585,15.6,344.6358612897967,91.3095545820431,1.124876034598867,1.147540025709945,37.0,306.37674791666666,196.1036845952354,148.53217669456131,5
Jaxon Smith-Njigba,WR,SEA,4.61,1.44,11.0,24.55852156057495,00-0038543,22.180531775650845,15.4,341.58018934502303,81.3961980401446,1.0955954350488881,1.1150780123246362,51.0,311.7758420833333,195.337311092439,146.24287825258403,6
Jonathan Taylor,RB,IND,11.82,5.05,13.0,27.630390143737166,00-0036223,21.851130019310514,15.6,340.877628301244,90.91683193939775,1.145759405954988,1.2056588944197013,41.0,297.51239791666666,196.1036845952354,144.7739437060086,7
Amon-Ra St. Brown,WR,DET,5.4,1.29,6.0,26.869267624914443,00-0036963,20.904142853668358,15.4,321.9237999464927,79.07964161463327,1.098452666751571,1.1230794579231371,50.0,293.07025208333334,195.337311092439,126.5864888540537,8
James Cook III,RB,BUF,14.97,5.66,7.0,26.94866529774127,00-0037248,20.382309484101008,15.6,317.9640279519757,88.58061260661022,1.1329274891139052,1.1659181636726548,50.0,280.6569979166667,196.1036845952354,121.86034335674032,9
Trey McBride,TE,ARI,18.5,5.19,14.0,26.78986995208761,00-0037744,18.42640373635609,14.9,274.55341567170575,62.177911459529874,1.0664068735326182,1.0974770642201834,50.0,257.45653229166663,156.53779939513723,118.01561627656852,10
CeeDee Lamb,WR,DAL,9.03,1.69,14.0,27.41409993155373,00-0036358,20.25118760220094,15.4,311.86828907389446,77.92259630726424,1.1006590924898394,1.1305475504322766,45.0,283.3468520833334,195.337311092439,116.53097798145546,11
Chase Brown,RB,CIN,17.05,5.98,6.0,26.46132785763176,00-0038597,19.618052598769143,15.6,306.04162054079865,87.40633842755439,1.1120385340076564,1.10996447301641,43.0,275.2077479166667,196.1036845952354,109.93793594556325,12
Justin Jefferson,WR,MIN,9.17,2.9,6.0,27.225188227241617,00-0036322,19.686660148398808,15.4,303.17456628534165,76.93841678588286,1.097925514416902,1.1230899359383233,44.0,276.13400208333337,195.337311092439,107.83725519290266,13
Saquon Barkley,RB,PHI,23.6,6.02,10.0,29.571526351813823,00-0034844,18.878397746231567,15.6,294.50300484121243,86.29822231021255,1.1454997672176495,1.201652688702516,46.0,257.0956479166667,196.1036845952354,98.39932024597704,14
Josh Allen,QB,BUF,25.77,3.01,7.0,30.2943189596167,00-0034857,25.093853807316293,15.8,396.48289015559743,108.66642596765584,1.1501922585913025,1.177303528997624,49.0,344.7101014583333,299.89636725074035,96.58652290485708,15
De'Von Achane,RB,MIA,21.49,6.71,6.0,24.89801505817933,00-0039040,18.647474967917216,15.6,290.90060949950856,85.95815180255279,1.118254971704274,1.127243668551758,44.0,260.1379979166667,196.1036845952354,94.79692490427317,16
Drake London,WR,ATL,13.17,3.46,11.0,25.11978097193703,00-0037238,18.65990840271951,15.4,287.3625894018804,75.18884565945726,1.093116065504418,1.1092256650636148,45.0,262.88387708333335,195.337311092439,92.02527830944143,17
A.J. Brown,WR,NE,13.73,5.45,11.0,29.1854893908282,00-0035676,18.368678901110886,15.4,282.87765507710765,74.70250269239651,1.1041237920739417,1.1403412217941662,45.0,256.20103208333336,195.337311092439,87.54034398466865,18
Kenneth Walker III,RB,KC,24.95,7.61,5.0,25.87816563997262,00-0038134,18.107789203331386,15.6,282.48151157196963,85.1745884737123,1.1126915757436155,1.1117903930131003,43.0,253.87224791666665,196.1036845952354,86.37782697673424,19
Nico Collins,WR,HOU,16.0,3.72,8.0,27.468856947296374,00-0036554,17.996895718067403,15.4,277.152194058238,74.08824448650455,1.1000501568356547,1.1298049340218015,42.0,251.94505208333334,195.337311092439,81.81488296579903,20
Derrick Henry,RB,BAL,37.64,6.99,13.0,32.67077344284736,00-0032764,17.695085900852792,15.6,276.04334005330355,84.58619863583337,1.14937004819653,1.2093071786310516,51.0,240.16924791666665,196.1036845952354,79.93965545806816,21
Omarion Hampton,RB,LAC,25.4,7.4,7.0,23.477070499657767,00-0040666,17.69110691457624,15.6,275.9812678673893,84.5805721410872,1.1127615199726728,1.1105379513633014,9.0,248.01474791666666,196.1036845952354,79.87758327215391,22
Lamar Jackson,QB,BAL,31.84,9.34,13.0,29.661875427789184,00-0034796,24.01707586745153,15.8,379.4697987057342,107.00893770422617,1.1603403752954764,1.214601724597014,46.0,327.0331764583333,299.89636725074035,79.57343145499385,23
Ashton Jeanty,RB,LV,28.95,8.75,13.0,22.76249144421629,00-0040122,17.55768699895959,15.6,273.89991718376956,84.39242643634094,1.1210577791847325,1.1458588331293347,17.0,244.32274791666666,196.1036845952354,77.79623258853417,24
Chris Olave,WR,NO,17.37,5.9,8.0,26.19301848049281,00-0037239,17.574097793990635,15.4,270.6411060274558,73.39892381856676,1.0935796049252298,1.1115451388888888,40.0,247.48185208333334,195.337311092439,75.30379493501681,25
George Pickens,WR,DAL,20.43,5.82,14.0,25.508555783709788,00-0037247,17.462674335393825,15.4,268.9251847650649,73.21892876723606,1.1018871439674824,1.133062697338746,48.0,244.05873708333334,195.337311092439,73.5878736726259,26
Drake Maye,QB,NE,37.1,12.33,11.0,24.019164955509925,00-0039851,23.546546667295154,15.8,372.0354373432634,106.2996869858822,1.1577962577701442,1.2160839160839163,30.0,321.33066145833334,299.89636725074035,72.13907009252307,27
Joe Burrow,QB,CIN,44.89,12.93,6.0,29.738535249828885,00-0036442,23.500081395450202,15.8,371.3012860481132,106.23015513971174,1.1867210001171804,1.3259122303037711,35.0,312.88001645833333,299.89636725074035,71.40491879737283,28
Breece Hall,RB,NYJ,39.52,4.84,13.0,25.267624914442163,00-0038120,17.072302121452292,15.6,266.32791309465574,83.71650768007906,1.121935759510587,1.1366871431277568,49.0,237.38249791666667,196.1036845952354,70.22422849942035,29
DeVonta Smith,WR,PHI,22.72,7.16,10.0,27.811088295687885,00-0036912,17.2113794534066,15.4,265.0552435824616,72.81558118272925,1.0892496872684063,1.0982029262086512,46.0,243.33745208333332,195.337311092439,69.71793249002263,30
Brock Bowers,TE,LV,21.2,5.51,13.0,23.731690622861056,00-0039338,15.099595914101508,14.9,224.98397912011248,55.78636986002459,1.0644263769391453,1.0894281157439052,29.0,211.36640729166666,156.53779939513723,68.44617972497525,31
Malik Nabers,WR,NYG,24.25,8.56,8.0,23.110198494182068,00-0039337,17.036245942370574,15.4,262.35818751250684,72.53663221068662,1.087965430218794,1.0990323556093138,19.0,241.1457020833333,195.337311092439,67.02087642006785,32
