year,policy,slot,seed,champ,wins,pts,playoff
2021,model_vona,0,0,0,6,1500.9500000000003,0
2021,model_vona,0,1,0,7,1634.36,1
2021,model_vona,0,2,0,5,1493.91,0
2021,model_vona,0,3,0,6,1536.8,0
2021,model_vona,0,4,0,5,1821.89,0
2021,model_vona,1,0,0,9,1936.9099999999999,1
2021,model_vona,1,1,0,6,1701.3999999999996,0
2021,model_vona,1,2,0,4,1581.71,0
2021,model_vona,1,3,0,6,1660.8999999999999,0
2021,model_vona,1,4,0,7,1431.11,1
2021,model_vona,2,0,0,8,1897.96,1
2021,model_vona,2,1,0,6,1541.2900000000004,0
2021,model_vona,2,2,0,5,1461.55,0
2021,model_vona,2,3,0,10,1722.06,1
2021,model_vona,2,4,0,7,1807.1800000000003,1
2021,model_vona,3,0,0,11,1994.5900000000001,1
2021,model_vona,3,1,0,4,1532.4299999999998,0
2021,model_vona,3,2,0,6,1586.6000000000001,0
2021,model_vona,3,3,0,3,1243.8500000000001,0
2021,model_vona,3,4,1,10,1769.7000000000003,1
2021,model_vona,4,0,0,10,1631.42,1
2021,model_vona,4,1,1,7,1704.3999999999996,1
2021,model_vona,4,2,1,8,1724.4900000000002,1
2021,model_vona,4,3,1,8,1848.0600000000002,1
2021,model_vona,4,4,0,10,1757.55,1
2021,model_vona,5,0,0,10,1842.2700000000002,1
2021,model_vona,5,1,0,6,1565.75,0
2021,model_vona,5,2,0,4,1582.43,0
2021,model_vona,5,3,0,8,1702.99,1
2021,model_vona,5,4,0,8,1579.6500000000003,0
2021,model_vona,6,0,0,6,1605.84,0
2021,model_vona,6,1,0,7,1732.1699999999998,1
2021,model_vona,6,2,0,9,1892.83,1
2021,model_vona,6,3,1,8,1725.55,1
2021,model_vona,6,4,0,9,1897.0500000000002,1
2021,model_vona,7,0,0,9,1639.05,1
2021,model_vona,7,1,0,7,1614.7100000000003,0
2021,model_vona,7,2,0,12,1785.2800000000002,1
2021,model_vona,7,3,1,10,1835.25,1
2021,model_vona,7,4,0,5,1420.3799999999999,0
2021,model_vona,8,0,0,6,1688.06,0
2021,model_vona,8,1,0,6,1766.4099999999999,0
2021,model_vona,8,2,0,8,1764.62,1
2021,model_vona,8,3,0,8,1718.96,1
2021,model_vona,8,4,0,10,1672.5999999999997,1
2021,model_vona,9,0,0,8,1948.16,1
2021,model_vona,9,1,0,8,1748.4,1
2021,model_vona,9,2,0,10,1931.3500000000001,1
2021,model_vona,9,3,0,10,1902.3500000000004,1
2021,model_vona,9,4,0,10,1852.1699999999998,1
2021,model_vona,10,0,1,10,1851.0700000000002,1
2021,model_vona,10,1,0,7,1688.8700000000001,0
2021,model_vona,10,2,0,6,1764.11,0
2021,model_vona,10,3,0,6,1764.6699999999998,1
2021,model_vona,10,4,0,9,1865.7599999999998,1
2021,model_vona,11,0,0,8,1902.9599999999998,1
2021,model_vona,11,1,0,4,1573.7700000000002,0
2021,model_vona,11,2,0,7,1632.0399999999997,0
2021,model_vona,11,3,0,7,1795.4700000000003,0
2021,model_vona,11,4,0,7,1824.8600000000001,0
2021,model,0,0,0,5,1331.15,0
2021,model,0,1,0,7,1538.8600000000001,0
2021,model,0,2,0,5,1493.91,0
2021,model,0,3,0,6,1536.8,0
2021,model,0,4,0,10,1792.0000000000002,1
2021,model,1,0,0,8,1673.5600000000002,1
2021,model,1,1,0,5,1711.35,0
2021,model,1,2,0,4,1499.04,0
2021,model,1,3,0,4,1708.31,0
2021,model,1,4,0,4,1341.7900000000002,0
2021,model,2,0,0,9,1790.26,1
2021,model,2,1,0,8,1650.79,1
2021,model,2,2,0,6,1549.47,0
2021,model,2,3,1,8,1747.45,1
2021,model,2,4,0,7,1807.1800000000003,1
2021,model,3,0,0,9,1803.6400000000003,1
2021,model,3,1,0,4,1478.35,0
2021,model,3,2,0,7,1635.7900000000004,1
2021,model,3,3,0,7,1506.23,0
2021,model,3,4,0,8,1830.8500000000001,1
2021,model,4,0,1,11,1886.5900000000001,1
2021,model,4,1,1,7,1704.3999999999996,1
2021,model,4,2,1,7,1762.14,1
2021,model,4,3,1,8,1848.0600000000002,1
2021,model,4,4,0,10,1757.55,1
2021,model,5,0,0,6,1766.53,0
2021,model,5,1,0,7,1516.05,0
2021,model,5,2,0,5,1500.5100000000002,0
2021,model,5,3,0,5,1565.28,0
2021,model,5,4,0,7,1595.9500000000003,1
2021,model,6,0,0,4,1560.3100000000004,0
2021,model,6,1,1,8,1758.0600000000002,1
2021,model,6,2,0,8,1784.65,0
2021,model,6,3,1,8,1725.55,1
2021,model,6,4,1,12,1955.2500000000005,1
2021,model,7,0,0,9,1639.05,1
2021,model,7,1,0,6,1612.2600000000002,0
2021,model,7,2,0,12,1785.2800000000002,1
2021,model,7,3,0,10,1714.3200000000002,1
2021,model,7,4,0,2,1384.33,0
2021,model,8,0,0,4,1531.0700000000002,0
2021,model,8,1,0,6,1766.4099999999999,0
2021,model,8,2,0,11,1782.6200000000003,1
2021,model,8,3,0,8,1718.96,1
2021,model,8,4,0,10,1672.5999999999997,1
2021,model,9,0,0,10,2014.7399999999998,1
2021,model,9,1,0,8,1608.0499999999997,1
2021,model,9,2,0,9,1915.1199999999997,1
2021,model,9,3,1,10,1976.3500000000006,1
2021,model,9,4,0,8,1695.9699999999998,1
2021,model,10,0,0,4,1369.3700000000001,0
2021,model,10,1,0,6,1630.6499999999999,0
2021,model,10,2,0,6,1752.0199999999998,0
2021,model,10,3,0,7,1713.6699999999996,1
2021,model,10,4,0,6,1633.4099999999999,0
2021,model,11,0,0,9,1809.1100000000004,1
2021,model,11,1,0,3,1471.7200000000005,0
2021,model,11,2,0,4,1552.74,0
2021,model,11,3,1,8,1629.32,1
2021,model,11,4,0,8,1811.8600000000001,1
2021,adp,0,0,1,9,1691.3800000000003,1
2021,adp,0,1,0,5,1649.3700000000001,0
2021,adp,0,2,0,5,1355.5299999999997,0
2021,adp,0,3,0,6,1561.1600000000003,0
2021,adp,0,4,0,4,1137.9000000000003,0
2021,adp,1,0,0,11,1859.7799999999997,1
2021,adp,1,1,0,9,1738.5,1
2021,adp,1,2,0,9,1803.89,1
2021,adp,1,3,0,4,1534.0900000000004,0
2021,adp,1,4,0,2,1188.5500000000002,0
2021,adp,2,0,1,8,1807.46,1
2021,adp,2,1,0,7,1665.55,0
2021,adp,2,2,0,9,1734.77,1
2021,adp,2,3,0,9,1657.7600000000002,1
2021,adp,2,4,0,7,1619.79,1
2021,adp,3,0,0,9,1791.09,1
2021,adp,3,1,0,8,1491.2499999999998,0
2021,adp,3,2,0,1,1372.3700000000001,0
2021,adp,3,3,0,5,1544.0200000000002,0
2021,adp,3,4,0,7,1572.54,0
2021,adp,4,0,0,8,1732.24,1
2021,adp,4,1,0,6,1617.2100000000003,0
2021,adp,4,2,0,4,1638.2999999999997,0
2021,adp,4,3,0,6,1627.6800000000003,0
2021,adp,4,4,1,8,1843.7200000000005,1
2021,adp,5,0,0,4,1404.2500000000002,0
2021,adp,5,1,0,8,1678.1500000000003,1
2021,adp,5,2,0,8,1797.21,1
2021,adp,5,3,0,5,1649.2800000000002,0
2021,adp,5,4,0,4,1294.65,0
2021,adp,6,0,0,9,1724.8400000000001,1
2021,adp,6,1,0,8,1720.3300000000002,1
2021,adp,6,2,1,11,2116.1299999999997,1
2021,adp,6,3,0,5,1718.87,0
2021,adp,6,4,0,4,1507.7099999999998,0
2021,adp,7,0,1,11,1994.27,1
2021,adp,7,1,0,5,1447.14,0
2021,adp,7,2,0,3,1141.8300000000002,0
2021,adp,7,3,0,7,1774.7900000000002,1
2021,adp,7,4,0,2,1425.4800000000002,0
2021,adp,8,0,0,5,1560.0000000000002,0
2021,adp,8,1,0,7,1556.1299999999997,0
2021,adp,8,2,0,7,1661.65,1
2021,adp,8,3,0,7,1842.7,1
2021,adp,8,4,1,11,1946.4899999999998,1
2021,adp,9,0,0,3,1450.55,0
2021,adp,9,1,0,4,1467.6100000000004,0
2021,adp,9,2,0,4,1484.67,0
2021,adp,9,3,0,6,1364.4100000000003,0
2021,adp,9,4,0,10,1664.4900000000002,1
2021,adp,10,0,1,7,1621.9500000000003,1
2021,adp,10,1,0,10,1878.1000000000001,1
2021,adp,10,2,0,7,1608.83,1
2021,adp,10,3,0,4,1524.75,0
2021,adp,10,4,0,8,1607.92,1
2021,adp,11,0,0,10,1881.2599999999998,1
2021,adp,11,1,0,3,1425.17,0
2021,adp,11,2,0,4,1691.92,0
2021,adp,11,3,0,6,1666.3,0
2021,adp,11,4,0,2,1435.97,0
2022,model_vona,0,0,1,9,1677.7500000000005,1
2022,model_vona,0,1,0,12,1878.6399999999999,1
2022,model_vona,0,2,1,9,1794.6299999999999,1
2022,model_vona,0,3,0,8,1667.7900000000002,0
2022,model_vona,0,4,0,9,1733.3,1
2022,model_vona,1,0,0,9,1797.1700000000003,1
2022,model_vona,1,1,0,8,1797.75,1
2022,model_vona,1,2,1,7,1739.1900000000003,1
2022,model_vona,1,3,1,8,1766.42,1
2022,model_vona,1,4,1,8,1841.05,1
2022,model_vona,2,0,0,9,1669.24,1
2022,model_vona,2,1,0,7,1496.48,0
2022,model_vona,2,2,0,4,1332.56,0
2022,model_vona,2,3,1,7,1643.5900000000001,1
2022,model_vona,2,4,0,10,1716.99,1
2022,model_vona,3,0,0,6,1566.9300000000003,0
2022,model_vona,3,1,1,7,1646.99,1
2022,model_vona,3,2,0,7,1569.5199999999995,1
2022,model_vona,3,3,0,9,1732.9299999999998,1
2022,model_vona,3,4,0,3,1412.46,0
2022,model_vona,4,0,0,4,1461.3200000000002,0
2022,model_vona,4,1,0,11,1801.81,1
2022,model_vona,4,2,0,5,1805.79,0
2022,model_vona,4,3,1,12,1742.6900000000003,1
2022,model_vona,4,4,0,8,1771.09,1
2022,model_vona,5,0,1,9,1549.03,1
2022,model_vona,5,1,0,7,1638.42,0
2022,model_vona,5,2,0,9,1806.7399999999998,1
2022,model_vona,5,3,0,8,1711.3200000000002,1
2022,model_vona,5,4,0,7,1733.4000000000005,1
2022,model_vona,6,0,0,7,1553.6200000000001,0
2022,model_vona,6,1,0,8,1555.3200000000002,1
2022,model_vona,6,2,0,8,1666.96,1
2022,model_vona,6,3,0,9,1615.6200000000006,1
2022,model_vona,6,4,0,10,1843.6400000000003,1
2022,model_vona,7,0,0,10,1882.0700000000004,1
2022,model_vona,7,1,0,11,1961.2699999999995,1
2022,model_vona,7,2,0,8,1803.04,1
2022,model_vona,7,3,0,4,1455.76,0
2022,model_vona,7,4,0,9,1738.67,1
2022,model_vona,8,0,0,12,2002.9699999999996,1
2022,model_vona,8,1,0,9,1791.2800000000002,1
2022,model_vona,8,2,0,12,1959.37,1
2022,model_vona,8,3,0,6,1472.8500000000001,0
2022,model_vona,8,4,0,8,1575.02,1
2022,model_vona,9,0,0,6,1634.27,1
2022,model_vona,9,1,0,9,1707.2000000000003,1
2022,model_vona,9,2,0,9,1775.7699999999995,1
2022,model_vona,9,3,0,12,1981.0399999999997,1
2022,model_vona,9,4,0,11,1789.0200000000002,1
2022,model_vona,10,0,0,9,1823.62,1
2022,model_vona,10,1,0,8,1837.9599999999998,1
2022,model_vona,10,2,0,8,1846.2800000000002,1
2022,model_vona,10,3,0,9,1861.2000000000003,1
2022,model_vona,10,4,0,13,1851.51,1
2022,model_vona,11,0,0,5,1633.85,0
2022,model_vona,11,1,0,10,1767.6200000000001,1
2022,model_vona,11,2,0,9,1760.82,1
2022,model_vona,11,3,0,10,1684.2199999999998,1
2022,model_vona,11,4,0,5,1627.7999999999997,0
2022,model,0,0,1,9,1677.7500000000005,1
2022,model,0,1,0,12,1878.6399999999999,1
2022,model,0,2,1,8,1703.5800000000002,1
2022,model,0,3,0,8,1635.84,1
2022,model,0,4,1,10,1834.6000000000001,1
2022,model,1,0,0,9,1739.63,1
2022,model,1,1,0,9,1796.3000000000004,1
2022,model,1,2,1,7,1739.1900000000003,1
2022,model,1,3,1,8,1751.92,1
2022,model,1,4,1,11,1792.2000000000003,1
2022,model,2,0,0,10,1846.86,1
2022,model,2,1,0,8,1612.1400000000003,1
2022,model,2,2,0,9,1482.0600000000002,1
2022,model,2,3,1,10,1695.69,1
2022,model,2,4,0,8,1560.39,1
2022,model,3,0,0,7,1558.23,1
2022,model,3,1,0,7,1694.3200000000004,1
2022,model,3,2,0,7,1624.84,0
2022,model,3,3,0,9,1734.0300000000004,1
2022,model,3,4,0,2,1204.4100000000003,0
2022,model,4,0,0,4,1461.3200000000002,0
2022,model,4,1,0,11,1701.9,1
2022,model,4,2,0,5,1805.79,0
2022,model,4,3,0,8,1738.0400000000002,1
2022,model,4,4,0,7,1679.3500000000001,1
2022,model,5,0,0,6,1558.92,0
2022,model,5,1,0,7,1638.42,0
2022,model,5,2,0,9,1844.5400000000004,1
2022,model,5,3,0,8,1633.8100000000004,1
2022,model,5,4,0,7,1733.4000000000005,1
2022,model,6,0,0,7,1553.6200000000001,0
2022,model,6,1,0,6,1513.07,0
2022,model,6,2,0,8,1697.4100000000003,1
2022,model,6,3,1,12,1889.27,1
2022,model,6,4,0,10,1843.6400000000003,1
2022,model,7,0,0,9,1830.44,1
2022,model,7,1,0,10,1854.62,1
2022,model,7,2,0,8,1828.68,1
2022,model,7,3,0,6,1533.52,0
2022,model,7,4,1,11,1713.3700000000001,1
2022,model,8,0,0,12,1913.07,1
2022,model,8,1,0,8,1717.1099999999997,1
2022,model,8,2,0,12,2027.52,1
2022,model,8,3,0,8,1654.3700000000001,1
2022,model,8,4,0,7,1505.27,0
2022,model,9,0,0,6,1634.27,1
2022,model,9,1,0,10,1829.2700000000004,1
2022,model,9,2,0,9,1775.7699999999995,1
2022,model,9,3,0,11,1869.14,1
2022,model,9,4,0,8,1740.3400000000001,1
2022,model,10,0,0,7,1771.62,0
2022,model,10,1,0,8,1772.97,1
2022,model,10,2,0,11,1931.38,1
2022,model,10,3,0,9,1892.75,1
2022,model,10,4,0,13,1851.51,1
2022,model,11,0,0,13,2058.49,1
2022,model,11,1,0,8,1712.6200000000001,1
2022,model,11,2,0,9,1776.8200000000002,1
2022,model,11,3,0,10,1684.2199999999998,1
2022,model,11,4,0,6,1641.35,0
2022,adp,0,0,0,8,1617.02,0
2022,adp,0,1,0,3,1274.9999999999998,0
2022,adp,0,2,0,7,1458.85,0
2022,adp,0,3,0,8,1706.0900000000001,1
2022,adp,0,4,0,7,1581.2299999999996,1
2022,adp,1,0,0,4,1526.55,0
2022,adp,1,1,0,5,1584.76,0
2022,adp,1,2,0,4,1507.23,0
2022,adp,1,3,0,9,1683.6100000000001,1
2022,adp,1,4,1,8,1688.8000000000002,1
2022,adp,2,0,0,8,1725.92,1
2022,adp,2,1,0,8,1750.07,1
2022,adp,2,2,0,10,1640.31,1
2022,adp,2,3,0,8,1559.3400000000001,1
2022,adp,2,4,0,6,1484.41,0
2022,adp,3,0,0,4,1405.67,0
2022,adp,3,1,0,3,1321.24,0
2022,adp,3,2,0,5,1441.52,0
2022,adp,3,3,1,8,1689.2700000000002,1
2022,adp,3,4,0,4,1386.8200000000002,0
2022,adp,4,0,1,10,1922.71,1
2022,adp,4,1,1,12,1904.6200000000001,1
2022,adp,4,2,0,5,1685.5900000000001,0
2022,adp,4,3,0,7,1599.8400000000001,1
2022,adp,4,4,0,5,1537.15,0
2022,adp,5,0,0,5,1409.9800000000002,0
2022,adp,5,1,0,4,1554.9800000000002,0
2022,adp,5,2,0,6,1575.67,0
2022,adp,5,3,0,8,1718.4299999999998,1
2022,adp,5,4,0,6,1426.53,0
2022,adp,6,0,0,10,1897.51,1
2022,adp,6,1,0,3,1139.23,0
2022,adp,6,2,0,6,1638.1499999999999,0
2022,adp,6,3,0,10,1803.1399999999999,1
2022,adp,6,4,0,1,1108.8600000000001,0
2022,adp,7,0,0,4,1404.3500000000001,0
2022,adp,7,1,0,6,1317.1000000000001,0
2022,adp,7,2,0,7,1527.1200000000003,0
2022,adp,7,3,0,8,1592.8300000000002,0
