season,week,team,pa
2023,1,WAS,16
2023,1,NYJ,16
2023,1,ATL,10
2023,1,CLE,3
2023,1,NYG,40
2023,1,KC,21
2023,1,CHI,38
2023,1,BAL,9
2023,1,IND,31
2023,1,SEA,30
2023,1,DEN,17
2023,1,LAC,36
2023,1,NE,25
2023,1,PIT,30
2023,1,MIN,20
2023,1,NO,15
2023,2,CIN,27
2023,2,TB,17
2023,2,PIT,22
2023,2,ATL,24
2023,2,HOU,31
2023,2,JAX,17
2023,2,TEN,24
2023,2,BUF,10
2023,2,NE,24
2023,2,PHI,28
2023,2,CAR,20
2023,2,ARI,31
2023,2,DAL,10
2023,2,DET,37
2023,2,LA,30
2023,2,DEN,35
2023,3,DET,6
2023,3,WAS,37
2023,3,SEA,27
2023,3,KC,10
2023,3,ARI,16
2023,3,MIA,20
2023,3,JAX,37
2023,3,BAL,22
2023,3,MIN,28
2023,3,CIN,16
2023,3,NYJ,15
2023,3,GB,17
2023,3,SF,12
2023,3,TB,25
2023,3,LV,23
2023,3,CLE,3
2023,4,SF,16
2023,4,JAX,7
2023,4,CLE,28
2023,4,TEN,3
2023,4,CHI,31
2023,4,GB,34
2023,4,NYJ,23
2023,4,IND,29
2023,4,LAC,17
2023,4,BUF,20
2023,4,CAR,21
2023,4,DAL,3
2023,4,HOU,6
2023,4,NYG,24
2023,4,NO,26
2023,4,PHI,31
2023,5,PIT,10
2023,5,DET,24
2023,5,WAS,40
2023,5,ARI,34
2023,5,SF,10
2023,5,LV,13
2023,5,ATL,19
2023,5,BUF,25
2023,5,MIN,27
2023,5,NE,34
2023,5,MIA,16
2023,5,DEN,31
2023,5,LA,23
2023,5,IND,16
2023,6,LA,9
2023,6,TEN,24
2023,6,MIA,21
2023,6,LAC,20
2023,6,KC,8
2023,6,TB,20
2023,6,JAX,20
2023,6,CHI,19
2023,6,LV,17
2023,6,HOU,13
2023,6,BUF,9
2023,6,NYJ,14
2023,6,CIN,13
2023,6,CLE,17
2023,6,ATL,24
2023,7,SEA,10
2023,7,TB,16
2023,7,NE,25
2023,7,IND,39
2023,7,BAL,6
2023,7,DEN,17
2023,7,NO,31
2023,7,KC,17
2023,7,CHI,12
2023,7,PHI,17
2023,7,LA,24
2023,7,MIN,17
2023,7,NYG,7
2023,8,TEN,23
2023,8,ARI,31
2023,8,LAC,13
2023,8,SF,31
2023,8,SEA,20
2023,8,CAR,13
2023,8,PIT,20
2023,8,DEN,9
2023,8,DAL,20
2023,8,DET,14
2023,8,GB,24
2023,8,MIA,17
2023,8,IND,38
2023,8,NYG,13
2023,8,WAS,38
2023,8,BUF,18
2023,9,CLE,0
2023,9,CIN,18
2023,9,NO,17
2023,9,PHI,23
2023,9,CAR,27
2023,9,NYJ,27
2023,9,GB,3
2023,9,KC,14
2023,9,ATL,31
2023,9,LV,6
2023,9,BAL,3
2023,9,HOU,37
2023,9,PIT,16
2023,9,NE,20
2023,10,ARI,23
2023,10,CHI,13
2023,10,BAL,33
2023,10,BUF,24
2023,10,LAC,41
2023,10,PIT,19
2023,10,CIN,30
2023,10,NE,10
2023,10,MIN,19
2023,10,DAL,17
2023,10,LV,12
2023,10,JAX,34
2023,10,TB,6
2023,10,SEA,26
2023,11,HOU,16
2023,11,DET,26
2023,11,BAL,20
2023,11,CAR,33
2023,11,GB,20
2023,11,MIA,13
2023,11,DEN,20
2023,11,WAS,31
2023,11,BUF,6
2023,11,KC,21
2023,11,CLE,10
2023,11,LA,16
2023,11,SF,14
2023,11,JAX,14
2023,12,LAC,20
2023,12,PHI,34
2023,12,TEN,10
2023,12,MIN,12
2023,12,DEN,12
2023,12,DET,29
2023,12,HOU,24
2023,12,LV,31
2023,12,ARI,37
2023,12,NYJ,34
2023,12,NYG,7
2023,12,ATL,15
2023,12,CIN,16
2023,12,SEA,31
2023,12,IND,20
2023,12,DAL,10
2023,13,PIT,24
2023,13,NYJ,13
2023,13,TB,18
2023,13,JAX,34
2023,13,LA,19
2023,13,HOU,17
2023,13,NO,33
2023,13,TEN,31
2023,13,GB,19
2023,13,NE,6
2023,13,WAS,45
2023,13,DAL,35
2023,13,PHI,42
2023,14,KC,20
2023,14,NO,6
2023,14,LAC,24
2023,14,CHI,13
2023,14,NYG,22
2023,14,NYJ,6
2023,14,CIN,14
2023,14,CLE,27
2023,14,BAL,31
2023,14,LV,3
2023,14,PIT,21
2023,14,DAL,13
2023,14,SF,16
2023,14,ATL,29
2023,14,MIA,28
2023,15,CAR,7
2023,15,JAX,23
2023,15,CLE,17
2023,15,BUF,10
2023,15,DET,17
2023,15,TEN,19
2023,15,NE,27
2023,15,LV,21
2023,15,CIN,24
2023,15,NO,6
2023,15,MIA,0
2023,15,SEA,17
2023,15,IND,13
2023,15,ARI,45
2023,15,GB,34
2023,15,LA,20
2023,16,CHI,16
2023,16,SF,33
2023,16,LAC,24
2023,16,PIT,11
2023,16,HOU,36
2023,16,MIA,20
2023,16,MIN,30
2023,16,CAR,33
2023,16,ATL,10
2023,16,TB,12
2023,16,KC,20
2023,16,DEN,26
2023,16,LA,22
2023,16,PHI,25
2023,16,TEN,20
2023,16,NYJ,28
2023,17,PHI,35
2023,17,CHI,17
2023,17,JAX,0
2023,17,KC,17
2023,17,DAL,19
2023,17,MIN,33
2023,17,DEN,9
2023,17,NYG,26
2023,17,IND,20
2023,17,BAL,19
2023,17,BUF,21
2023,17,TB,23
2023,17,CLE,20
2023,17,SEA,30
2023,17,WAS,27
2023,17,HOU,3
2023,18,NO,17
2023,18,MIA,21
2023,18,GB,9
2023,18,CIN,14
2023,18,WAS,38
2023,18,LV,14
2023,18,IND,23
2023,18,TEN,20
2023,18,LAC,13
2023,18,SF,21
2023,18,DET,20
2023,18,NE,17
2023,18,NYG,10
2023,18,BAL,17
2023,18,ARI,21
2023,18,CAR,9
2023,1,ARI,20
2023,1,BUF,22
2023,1,CAR,24
2023,1,CIN,24
2023,1,DAL,0
2023,1,DET,20
2023,1,GB,20
2023,1,HOU,25
2023,1,JAX,21
2023,1,LA,13
2023,1,LV,16
2023,1,MIA,34
2023,1,PHI,20
2023,1,SF,7
2023,1,TB,17
2023,1,TEN,16
2023,2,BAL,24
2023,2,CHI,27
2023,2,CLE,26
2023,2,GB,25
2023,2,IND,20
2023,2,KC,9
2023,2,LAC,27
2023,2,LV,38
2023,2,MIA,17
2023,2,MIN,34
2023,2,NO,17
2023,2,NYG,28
2023,2,NYJ,30
2023,2,SEA,31
2023,2,SF,23
2023,2,WAS,33
2023,3,ATL,20
2023,3,BUF,3
2023,3,CAR,37
2023,3,CHI,41
2023,3,DAL,28
2023,3,DEN,70
2023,3,HOU,17
2023,3,IND,19
2023,3,LAC,24
2023,3,LA,19
2023,3,NE,10
2023,3,NO,18
2023,3,NYG,30
2023,3,PHI,11
2023,3,PIT,18
2023,3,TEN,27
2023,4,ARI,35
2023,4,ATL,23
2023,4,BAL,3
2023,4,CIN,27
2023,4,DEN,28
2023,4,DET,20
2023,4,KC,20
2023,4,LA,23
2023,4,LV,24
2023,4,MIA,48
2023,4,MIN,13
2023,4,NE,38
2023,4,PIT,30
2023,4,SEA,3
2023,4,TB,9
2023,4,WAS,34
2023,5,BAL,17
2023,5,CAR,42
2023,5,CHI,20
2023,5,CIN,20
2023,5,DAL,42
2023,5,GB,17
2023,5,HOU,21
2023,5,JAX,20
2023,5,KC,20
2023,5,NO,0
2023,5,NYG,31
2023,5,NYJ,21
2023,5,PHI,14
2023,5,TEN,23
2023,6,ARI,26
2023,6,BAL,16
2023,6,CAR,42
2023,6,DAL,17
2023,6,DEN,19
2023,6,DET,6
2023,6,IND,37
2023,6,MIN,13
2023,6,NE,21
2023,6,NO,20
2023,6,NYG,14
2023,6,PHI,20
2023,6,SEA,17
2023,6,SF,19
2023,6,WAS,16
2023,7,ARI,20
2023,7,ATL,13
