slot,rnd,pos,pos_share,mix,top_names
1,1,WR,1.0,WR100,Ja'Marr Chase (100%)
1,2,RB,0.5542857142857143,RB55/QB26/TE18,Saquon Barkley (34%); Josh Allen (23%); Trey McBride (18%)
1,3,QB,0.4928571428571429,QB49/RB48/WR2,Josh Allen (38%); Derrick Henry (16%); De'Von Achane (16%)
1,4,RB,0.8042857142857143,RB80/QB15/TE3,Kyren Williams (16%); Travis Etienne Jr. (13%); D'Andre Swift (13%)
1,5,RB,0.71,RB71/TE22/WR7,D'Andre Swift (24%); Travis Etienne Jr. (14%); Tyler Warren (14%)
1,6,RB,0.4471428571428571,RB45/TE37/WR9,Harold Fannin Jr. (28%); Jadarian Price (10%); David Montgomery (7%)
1,7,RB,0.59,RB59/WR25/TE15,Tony Pollard (14%); Jadarian Price (14%); TreVeyon Henderson (13%)
1,8,WR,0.4685714285714286,WR47/QB21/RB16,Brock Purdy (14%); Brian Thomas Jr. (11%); Chris Godwin Jr. (8%)
1,9,QB,0.48428571428571426,QB48/TE41/WR9,Brock Purdy (29%); George Kittle (22%); Jared Goff (12%)
1,10,TE,0.7085714285714285,TE71/RB18/WR7,Isaiah Likely (28%); Dalton Kincaid (22%); Dallas Goedert (9%)
1,11,RB,0.42,RB42/TE33/WR20,Dallas Goedert (15%); Isaiah Likely (12%); MarShawn Lloyd (9%)
1,12,RB,0.43142857142857144,RB43/WR28/TE28,De'Zhaun Stribling (12%); MarShawn Lloyd (10%); Woody Marks (7%)
1,13,DST,1.0,DST100,Houston Texans (100%)
1,14,K,1.0,K100,Ka'imi Fairbairn (42%); Brandon Aubrey (24%); Cameron Dicker (22%)
1,15,WR,0.5171428571428571,WR52/RB36/TE12,Josh Jacobs (18%); Tyreek Hill (18%); Jordyn Tyson (11%)
2,1,RB,0.5785714285714286,RB58/WR42,Jahmyr Gibbs (58%); Ja'Marr Chase (42%)
2,2,RB,0.5828571428571429,RB58/QB21/TE21,Saquon Barkley (34%); Trey McBride (21%); Josh Allen (20%)
2,3,QB,0.49714285714285716,QB50/RB48/WR1,Josh Allen (34%); De'Von Achane (17%); Saquon Barkley (16%)
2,4,RB,0.7342857142857143,RB73/QB18/TE7,Kyren Williams (16%); Joe Burrow (14%); Javonte Williams (13%)
2,5,RB,0.6114285714285714,RB61/TE29/WR9,Tyler Warren (22%); D'Andre Swift (20%); Travis Etienne Jr. (13%)
