season,week,team,three_and_out,fourth_down_stop,yards_allowed
2021,1,ARI,2,2.0,248.0
2021,1,ATL,1,2.0,436.0
2021,1,BAL,4,1.0,491.0
2021,1,BUF,2,0.0,255.0
2021,1,CAR,3,1.0,254.0
2021,1,CHI,1,0.0,392.0
2021,1,CIN,4,0.0,403.0
2021,1,CLE,0,0.0,399.0
2021,1,DAL,2,0.0,431.0
2021,1,DEN,2,2.0,315.0
2021,1,DET,1,0.0,443.0
2021,1,GB,1,0.0,323.0
2021,1,HOU,5,0.0,397.0
2021,1,IND,1,0.0,381.0
2021,1,JAX,4,0.0,450.0
2021,1,KC,1,1.0,459.0
2021,1,LA,0,4.0,322.0
2021,1,LAC,2,0.0,259.0
2021,1,LV,1,1.0,407.0
2021,1,MIA,0,0.0,393.0
2021,1,MIN,3,1.0,366.0
2021,1,NE,3,0.0,261.0
2021,1,NO,1,1.0,229.0
2021,1,NYG,1,0.0,420.0
2021,1,NYJ,2,1.0,387.0
2021,1,PHI,3,2.0,260.0
2021,1,PIT,1,2.0,371.0
2021,1,SEA,4,3.0,336.0
2021,1,SF,2,3.0,434.0
2021,1,TB,2,0.0,451.0
2021,1,TEN,2,0.0,416.0
2021,1,WAS,1,0.0,427.0
2021,2,ARI,4,0.0,419.0
2021,2,ATL,2,1.0,344.0
2021,2,BAL,0,0.0,405.0
2021,2,BUF,3,4.0,217.0
2021,2,CAR,5,2.0,129.0
2021,2,CHI,0,1.0,248.0
2021,2,CIN,1,1.0,210.0
2021,2,CLE,2,0.0,302.0
2021,2,DAL,0,0.0,410.0
2021,2,DEN,3,0.0,189.0
2021,2,DET,2,0.0,327.0
2021,2,GB,0,2.0,344.0
2021,2,HOU,1,0.0,358.0
2021,2,IND,3,1.0,371.0
2021,2,JAX,2,0.0,400.0
2021,2,KC,1,0.0,482.0
2021,2,LA,1,1.0,356.0
2021,2,LAC,0,1.0,419.0
2021,2,LV,1,1.0,331.0
2021,2,MIA,2,0.0,316.0
2021,2,MIN,3,0.0,474.0
2021,2,NE,1,2.0,337.0
2021,2,NO,1,0.0,383.0
2021,2,NYG,3,0.0,407.0
2021,2,NYJ,3,0.0,260.0
2021,2,PHI,3,0.0,309.0
2021,2,PIT,0,0.0,425.0
2021,2,SEA,1,1.0,533.0
2021,2,SF,1,1.0,331.0
2021,2,TB,2,3.0,350.0
2021,2,TEN,4,0.0,397.0
2021,2,WAS,1,0.0,392.0
2021,3,ARI,5,0.0,361.0
2021,3,ATL,1,0.0,349.0
2021,3,BAL,3,0.0,285.0
2021,3,BUF,3,1.0,290.0
2021,3,CAR,3,1.0,193.0
2021,3,CHI,1,2.0,420.0
2021,3,CIN,3,2.0,342.0
2021,3,CLE,5,1.0,47.0
2021,3,DAL,4,2.0,367.0
2021,3,DEN,3,2.0,162.0
2021,3,DET,1,0.0,387.0
2021,3,GB,2,0.0,298.0
2021,3,HOU,3,1.0,410.0
2021,3,IND,1,0.0,372.0
2021,3,JAX,2,0.0,407.0
2021,3,KC,2,0.0,355.0
2021,3,LA,2,1.0,446.0
2021,3,LAC,1,0.0,437.0
2021,3,LV,0,1.0,332.0
2021,3,MIA,3,1.0,499.0
2021,3,MIN,0,1.0,389.0
2021,3,NE,4,0.0,254.0
2021,3,NO,4,1.0,300.0
2021,3,NYG,2,0.0,296.0
2021,3,NYJ,1,0.0,344.0
2021,3,PHI,3,1.0,383.0
2021,3,PIT,4,0.0,272.0
2021,3,SEA,1,0.0,453.0
2021,3,SF,2,1.0,353.0
2021,3,TB,1,0.0,409.0
2021,3,TEN,2,0.0,265.0
2021,3,WAS,1,1.0,484.0
2021,4,ARI,0,1.0,402.0
2021,4,ATL,1,1.0,413.0
2021,4,BAL,3,0.0,254.0
2021,4,BUF,4,1.0,109.0
2021,4,CAR,1,0.0,434.0
2021,4,CHI,2,2.0,351.0
2021,4,CIN,2,1.0,341.0
2021,4,CLE,5,2.0,256.0
2021,4,DAL,2,0.0,379.0
2021,4,DEN,3,0.0,406.0
2021,4,DET,2,0.0,375.0
2021,4,GB,1,2.0,282.0
2021,4,HOU,1,1.0,452.0
2021,4,IND,3,0.0,203.0
2021,4,JAX,2,0.0,420.0
2021,4,KC,0,1.0,461.0
2021,4,LA,2,0.0,467.0
2021,4,LAC,4,2.0,213.0
2021,4,LV,3,1.0,382.0
2021,4,MIA,0,0.0,353.0
2021,4,MIN,4,1.0,329.0
2021,4,NE,2,0.0,384.0
2021,4,NO,1,0.0,487.0
2021,4,NYG,1,1.0,405.0
2021,4,NYJ,3,1.0,432.0
2021,4,PHI,0,0.0,472.0
2021,4,PIT,1,1.0,369.0
2021,4,SEA,3,1.0,459.0
2021,4,SF,7,0.0,236.0
2021,4,TB,2,0.0,295.0
2021,4,TEN,4,0.0,356.0
2021,4,WAS,2,0.0,374.0
2021,5,ARI,1,4.0,338.0
2021,5,ATL,3,0.0,232.0
2021,5,BAL,1,0.0,513.0
2021,5,BUF,2,1.0,392.0
2021,5,CAR,4,1.0,277.0
2021,5,CHI,3,2.0,259.0
2021,5,CIN,1,0.0,466.0
2021,5,CLE,2,0.0,496.0
2021,5,DAL,2,1.0,367.0
2021,5,DEN,2,0.0,392.0
2021,5,DET,3,0.0,384.0
2021,5,GB,4,0.0,369.0
2021,5,HOU,1,0.0,352.0
2021,5,IND,2,0.0,527.0
2021,5,JAX,1,0.0,368.0
2021,5,KC,3,0.0,439.0
2021,5,LA,2,1.0,354.0
2021,5,LAC,2,2.0,533.0
2021,5,LV,4,0.0,252.0
2021,5,MIA,0,0.0,559.0
2021,5,MIN,1,1.0,290.0
2021,5,NE,2,0.0,360.0
2021,5,NO,2,2.0,373.0
2021,5,NYG,1,1.0,515.0
2021,5,NYJ,0,0.0,451.0
2021,5,PHI,3,0.0,267.0
2021,5,PIT,2,1.0,374.0
2021,5,SEA,1,0.0,477.0
2021,5,SF,3,0.0,311.0
2021,5,TB,2,0.0,301.0
2021,5,TEN,1,2.0,454.0
2021,5,WAS,3,0.0,370.0
2021,6,ARI,2,3.0,290.0
2021,6,BAL,3,3.0,208.0
2021,6,BUF,1,0.0,363.0
2021,6,CAR,2,0.0,571.0
2021,6,CHI,1,0.0,328.0
2021,6,CIN,4,1.0,230.0
2021,6,CLE,2,0.0,355.0
2021,6,DAL,3,0.0,341.0
2021,6,DEN,3,0.0,427.0
2021,6,DET,3,0.0,401.0
2021,6,GB,1,1.0,277.0
2021,6,HOU,3,0.0,389.0
2021,6,IND,1,1.0,353.0
2021,6,JAX,1,1.0,431.0
2021,6,KC,3,0.0,276.0
2021,6,LA,3,2.0,263.0
2021,6,LAC,1,0.0,329.0
2021,6,LV,2,2.0,421.0
2021,6,MIA,2,1.0,396.0
2021,6,MIN,1,0.0,309.0
2021,6,NE,1,2.0,567.0
2021,6,NYG,2,0.0,366.0
2021,6,PHI,3,1.0,401.0
2021,6,PIT,5,0.0,310.0
2021,6,SEA,4,0.0,345.0
2021,6,TB,5,0.0,215.0
2021,6,TEN,1,1.0,419.0
2021,6,WAS,0,1.0,499.0
2021,7,ARI,5,2.0,160.0
2021,7,ATL,2,0.0,413.0
2021,7,BAL,3,1.0,520.0
2021,7,CAR,2,1.0,305.0
2021,7,CHI,1,1.0,408.0
2021,7,CIN,2,3.0,393.0
2021,7,CLE,4,0.0,223.0
2021,7,DEN,1,0.0,377.0
2021,7,DET,0,1.0,378.0
2021,7,GB,0,3.0,431.0
2021,7,HOU,2,0.0,398.0
2021,7,IND,4,0.0,281.0
2021,7,KC,1,0.0,370.0
2021,7,LA,1,1.0,415.0
2021,7,LV,0,1.0,361.0
2021,7,MIA,2,0.0,399.0
2021,7,NE,1,2.0,299.0
2021,7,NO,1,1.0,220.0
2021,7,NYG,6,2.0,173.0
2021,7,NYJ,0,0.0,554.0
2021,7,PHI,2,0.0,443.0
2021,7,SEA,2,0.0,307.0
2021,7,SF,4,0.0,295.0
2021,7,TB,2,1.0,311.0
2021,7,TEN,0,1.0,335.0
2021,7,WAS,3,0.0,304.0
2021,8,ARI,1,2.0,336.0
2021,8,ATL,3,0.0,333.0
2021,8,BUF,3,0.0,264.0
2021,8,CAR,3,0.0,213.0
2021,8,CHI,0,0.0,472.0
2021,8,CIN,1,0.0,517.0
2021,8,CLE,3,2.0,370.0
2021,8,DAL,4,1.0,279.0
2021,8,DEN,1,4.0,342.0
2021,8,DET,1,0.0,351.0
2021,8,GB,2,0.0,334.0
2021,8,HOU,3,1.0,467.0
2021,8,IND,3,0.0,341.0
2021,8,JAX,5,0.0,229.0
2021,8,KC,3,1.0,301.0
2021,8,LA,5,0.0,325.0
2021,8,LAC,2,1.0,355.0
2021,8,MIA,2,1.0,352.0
2021,8,MIN,2,0.0,419.0
2021,8,NE,3,0.0,370.0
2021,8,NO,1,1.0,421.0
2021,8,NYG,1,0.0,369.0
2021,8,NYJ,2,1.0,319.0
2021,8,PHI,1,3.0,228.0
2021,8,PIT,3,2.0,306.0
2021,8,SEA,2,3.0,310.0
2021,8,SF,0,0.0,324.0
2021,8,TB,2,1.0,362.0
2021,8,TEN,2,1.0,307.0
2021,8,WAS,1,0.0,273.0
2021,9,ARI,1,0.0,337.0
2021,9,ATL,1,1.0,376.0
2021,9,BAL,3,0.0,318.0
2021,9,BUF,3,0.0,219.0
2021,9,CAR,1,0.0,276.0
2021,9,CHI,2,0.0,281.0
2021,9,CIN,2,0.0,361.0
2021,9,CLE,1,2.0,348.0
2021,9,DAL,3,0.0,411.0
2021,9,DEN,1,4.0,294.0
2021,9,GB,4,1.0,239.0
2021,9,HOU,3,0.0,262.0
2021,9,IND,2,0.0,487.0
2021,9,JAX,0,1.0,301.0
2021,9,KC,2,1.0,301.0
2021,9,LA,3,0.0,195.0
2021,9,LAC,2,0.0,331.0
2021,9,LV,0,0.0,248.0
2021,9,MIA,2,0.0,272.0
2021,9,MIN,0,0.0,500.0
2021,9,NE,3,1.0,240.0
2021,9,NO,3,1.0,368.0
2021,9,NYG,2,0.0,403.0
2021,9,NYJ,2,1.0,533.0
2021,9,PHI,0,2.0,447.0
2021,9,PIT,4,0.0,414.0
2021,9,SF,1,1.0,438.0
2021,9,TEN,0,1.0,347.0
2021,10,ARI,3,0.0,343.0
2021,10,ATL,3,0.0,439.0
2021,10,BAL,4,0.0,351.0
2021,10,BUF,2,1.0,366.0
2021,10,CAR,3,3.0,169.0
2021,10,CLE,1,0.0,454.0
2021,10,DAL,4,2.0,214.0
2021,10,DEN,3,0.0,389.0
2021,10,DET,4,0.0,388.0
2021,10,GB,3,1.0,208.0
2021,10,IND,6,0.0,333.0
2021,10,JAX,5,0.0,298.0
2021,10,KC,2,1.0,299.0
2021,10,LA,1,1.0,336.0
2021,10,LAC,2,0.0,388.0
2021,10,LV,1,0.0,518.0
2021,10,MIA,2,0.0,305.0
2021,10,MIN,3,0.0,253.0
2021,10,NE,1,2.0,217.0
2021,10,NO,4,0.0,266.0
2021,10,NYJ,1,0.0,493.0
2021,10,PHI,4,2.0,308.0
2021,10,PIT,6,0.0,306.0
2021,10,SEA,2,1.0,393.0
2021,10,SF,3,2.0,278.0
2021,10,TB,2,0.0,320.0
2021,10,TEN,2,0.0,373.0
2021,10,WAS,2,0.0,273.0
2021,11,ARI,0,1.0,266.0
2021,11,ATL,3,0.0,312.0
2021,11,BAL,2,1.0,353.0
2021,11,BUF,0,1.0,370.0
2021,11,CAR,2,0.0,371.0
2021,11,CHI,1,0.0,299.0
2021,11,CIN,0,0.0,278.0
2021,11,CLE,2,0.0,245.0
2021,11,DAL,2,0.0,372.0
2021,11,DET,1,0.0,351.0
2021,11,GB,2,0.0,414.0
2021,11,HOU,1,2.0,420.0
2021,11,IND,1,0.0,313.0
2021,11,JAX,1,0.0,336.0
2021,11,KC,5,0.0,276.0
2021,11,LAC,1,2.0,300.0
2021,11,LV,0,0.0,288.0
2021,11,MIA,1,0.0,380.0
2021,11,MIN,1,0.0,468.0
2021,11,NE,3,1.0,165.0
2021,11,NO,2,0.0,382.0
2021,11,NYG,1,0.0,404.0
2021,11,NYJ,3,0.0,389.0
2021,11,PHI,3,0.0,324.0
2021,11,PIT,1,1.0,536.0
2021,11,SEA,2,0.0,415.0
2021,11,SF,2,0.0,200.0
2021,11,TB,2,2.0,215.0
2021,11,TEN,6,0.0,190.0
2021,11,WAS,2,2.0,298.0
2021,12,ATL,1,2.0,359.0
2021,12,BAL,2,1.0,262.0
2021,12,BUF,3,2.0,191.0
2021,12,CAR,1,0.0,317.0
2021,12,CHI,4,0.0,239.0
2021,12,CIN,2,0.0,301.0
2021,12,CLE,1,0.0,305.0
2021,12,DAL,3,0.0,510.0
2021,12,DEN,2,1.0,357.0
2021,12,DET,1,0.0,384.0
2021,12,GB,2,1.0,356.0
2021,12,HOU,4,0.0,269.0
2021,12,IND,4,0.0,360.0
2021,12,JAX,1,0.0,334.0
2021,12,LA,2,0.0,400.0
2021,12,LAC,2,0.0,303.0
2021,12,LV,5,0.0,439.0
2021,12,MIA,3,1.0,198.0
2021,12,MIN,1,0.0,425.0
2021,12,NE,2,2.0,356.0
