player,pos,team,ecr,sd,bye,age,gsis_id,proj_ppg,exp_games,proj_pts,proj_sd,replacement,vorp,vorp_rank,tier
Josh Allen,QB,BUF,25.77,3.01,7.0,30.2943189596167,00-0034857,26.11371691621022,16.119999999999997,420.9531166893087,111.67102035701365,308.62175610452914,112.33136058477952,13,1
Lamar Jackson,QB,BAL,31.84,9.34,13.0,29.661875427789184,00-0034796,23.560500012051754,15.52,365.6589601870432,105.06562904741466,308.62175610452914,57.03720408251405,35,2
Jalen Hurts,QB,PHI,57.19,12.64,10.0,28.082135523613964,00-0036389,22.771503570941142,15.92,362.522336849383,105.698123418527,308.62175610452914,53.90058074485387,38,2
Jared Goff,QB,DET,105.55,10.76,6.0,31.89596167008898,00-0033106,21.18540823276753,16.52,349.9829440053196,106.25240274292972,308.62175610452914,41.36118790079047,45,2
Justin Herbert,QB,LAC,71.81,13.51,7.0,28.49281314168378,00-0036355,21.20639111262232,15.52,329.1231900678984,101.61877839447484,308.62175610452914,20.501433963369266,78,3
Matthew Stafford,QB,LAR,105.93,10.19,11.0,38.57905544147844,00-0026498,20.669619927184467,15.92,329.0603492407767,102.73679939746812,308.62175610452914,20.43859313624756,80,3
Baker Mayfield,QB,TB,118.46,8.97,10.0,31.39767282683093,00-0034855,19.748150024924097,16.52,326.2394384117461,104.36411328991738,308.62175610452914,17.617682307216967,85,3
Patrick Mahomes II,QB,KC,103.11,10.61,5.0,30.97056810403833,00-0033873,20.733627219026022,15.52,321.7858944392839,100.95712303827275,308.62175610452914,13.16413833475474,93,3
Brock Purdy,QB,SF,96.42,10.36,8.0,26.694045174537987,00-0037834,22.233333627620112,14.32,318.38133754752,97.69722820823604,308.62175610452914,9.75958144299085,100,3
Joe Burrow,QB,CIN,44.89,12.93,6.0,29.738535249828885,00-0036442,23.81340486384693,13.32,317.1945527864412,95.91911476956064,308.62175610452914,8.572796681912052,106,3
Trevor Lawrence,QB,JAC,76.37,13.23,7.0,26.91854893908282,00-0036971,21.021002112819744,14.92,313.63335152327056,98.59497706086088,308.62175610452914,5.011595418741422,113,3
Jordan Love,QB,GB,116.43,8.9,11.0,27.84394250513347,00-0036264,19.6761013733612,15.72,309.308313589238,100.46122936298538,308.62175610452914,0.6865574847088851,119,3
Dak Prescott,QB,DAL,77.92,12.49,14.0,33.106091718001366,00-0033077,20.96615190927508,14.72,308.62175610452914,97.60163520642328,308.62175610452914,0.0,123,3
Drake Maye,QB,NE,37.1,12.33,11.0,24.019164955509925,00-0039851,23.56446787303689,12.32,290.31424419581447,91.3517292003948,308.62175610452914,-18.307511908714677,159,4
Bo Nix,QB,DEN,98.53,9.53,10.0,26.529774127310063,00-0039732,21.1899330392214,13.12,278.0119214745848,90.78763821422608,308.62175610452914,-30.60983462994432,194,4
C.J. Stroud,QB,HOU,143.15,13.02,8.0,24.92539356605065,00-0039163,17.38186622012497,15.52,269.7665637363395,96.58531714225312,308.62175610452914,-38.85519236818965,209,4
Caleb Williams,QB,CHI,65.14,11.8,10.0,24.79945242984257,00-0039918,20.50525451403793,13.12,269.02893922417763,89.71851608087262,308.62175610452914,-39.59281688035151,211,4
Sam Darnold,QB,SEA,138.31,12.86,11.0,29.253935660506503,00-0034869,17.290581126788286,15.12,261.4335866370389,94.53350497546276,308.62175610452914,-47.18816946749024,233,4
Jayden Daniels,QB,WAS,56.6,16.35,7.0,25.71663244353183,00-0039910,22.374247933594702,11.12,248.8016370215731,84.40763425908357,308.62175610452914,-59.82011908295604,260,5
Kyler Murray,QB,MIN,113.74,9.41,6.0,29.08145106091718,00-0035228,19.731246072597006,12.32,243.0889516143951,84.98961585901571,308.62175610452914,-65.53280449013403,274,5
Fernando Mendoza,QB,LV,261.28,39.51,13.0,22.93223819301848,00-0041562,14.91197141100046,15.8,235.60914829380727,95.15676636798072,308.62175610452914,-73.01260781072187,308,5
Tua Tagovailoa,QB,ATL,281.77,31.68,11.0,28.51471594798084,00-0036212,15.962256866078333,14.72,234.96442106867303,90.97761612170642,308.62175610452914,-73.65733503585608,309,5
Bryce Young,QB,CAR,169.51,27.8,5.0,25.11704312114989,00-0039150,15.113606172380043,15.52,234.5631677953383,93.97050696238962,308.62175610452914,-74.05858830919084,310,5
Geno Smith,QB,NYJ,227.97,33.24,13.0,35.90691307323751,00-0030565,14.765224140088293,15.72,232.109323482188,94.59963881966796,308.62175610452914,-76.51243262234118,317,5
Jaxson Dart,QB,NYG,98.35,13.68,8.0,23.318275154004105,00-0040691,20.19151441543776,10.604444444444448,214.11979286770887,78.47148691990986,308.62175610452914,-94.50196323682022,407,6
Daniel Jones,QB,IND,146.36,20.49,13.0,29.27857631759069,00-0035710,17.355071703188514,12.12,210.3434690426448,80.49632012360708,308.62175610452914,-98.27828706188431,418,6
Taylen Green,QB,CLE,338.33,11.84,11.0,23.88501026694045,00-0041092,12.742219127917906,15.8,201.3270622211029,93.001030330498,308.62175610452914,-107.29469388342622,453,6
Drew Allar,QB,PIT,332.0,12.0,9.0,22.49691991786448,00-0041565,12.742219127917906,15.8,201.3270622211029,93.001030330498,308.62175610452914,-107.29469388342622,454,6
Carson Beck,QB,ARI,322.53,21.19,14.0,24.79671457905544,00-0041561,12.742219127917906,15.8,201.3270622211029,93.001030330498,308.62175610452914,-107.29469388342622,455,6
Aaron Rodgers,QB,PIT,213.2,40.75,9.0,42.76249144421629,00-0023459,15.326486397809056,13.12,201.08350153925485,82.43177550340069,308.62175610452914,-107.53825456527431,456,6
Tyler Shough,QB,NO,125.2,12.5,8.0,26.94045174537988,00-0040743,17.24565156468173,11.351111111111113,195.7573070942095,76.86450494413575,308.62175610452914,-112.86444901031965,470,6
Malik Willis,QB,MIA,128.78,18.79,6.0,27.28542094455852,00-0038128,16.20627079908884,11.08,179.56548045390437,74.08880969028037,308.62175610452914,-129.05627565062477,498,7
