vorp_rank,player,pos,team,ecr,ratio,proj_pts,proj_sd,vorp,replacement,bye,age
1,Ja'Marr Chase,WR,CIN,1.49,1.119441897688987,403.2782519206517,89.08017963575801,206.16727545428225,197.11097646636944,6.0,26.5160848733744
2,Jahmyr Gibbs,RB,DET,2.43,1.1204908981294488,387.882852975636,96.00736112294824,193.7024284824616,194.18042449317443,6.0,24.465434633812457
3,Puka Nacua,WR,LAR,3.43,1.1159810980917813,367.59250287410737,84.56453163762653,170.4815264077379,197.11097646636944,11.0,25.27310061601643
4,Bijan Robinson,RB,ATL,4.19,1.1448237161640336,361.6514123043714,93.11962414337845,167.470987811197,194.18042449317443,11.0,24.59958932238193
5,Jonathan Taylor,RB,IND,11.82,1.1753423196324186,349.67891188677817,91.84061008954608,155.49848739360374,194.18042449317443,13.0,27.630390143737166
6,Christian McCaffrey,RB,SF,9.58,1.1354885575024167,347.8872915441774,91.6514141883291,153.70686705100297,194.18042449317443,8.0,30.24777549623545
7,Jaxon Smith-Njigba,WR,SEA,4.61,1.1064073355068396,344.951078714822,81.8004005194379,147.84010224845255,197.11097646636944,11.0,24.55852156057495
8,James Cook III,RB,BUF,14.97,1.1508539287143216,322.995208673563,89.08480342193276,128.8147841803886,194.18042449317443,7.0,26.94866529774127
9,Amon-Ra St. Brown,WR,DET,5.4,1.1119987869798005,325.89376481653096,79.5417914132212,128.7827883501615,197.11097646636944,6.0,26.869267624914443
10,Trey McBride,TE,ARI,18.5,1.0869980791653555,279.8547560696149,62.89344764919051,122.16297371642284,157.6917823531921,14.0,26.78986995208761
11,CeeDee Lamb,WR,DAL,9.03,1.1163166455674094,316.30480744975165,78.43066207606813,119.19383098338218,197.11097646636944,14.0,27.41409993155373
12,Chase Brown,RB,CIN,17.05,1.1109895105726255,305.752921163732,87.37826821103671,111.5724966705576,194.18042449317443,6.0,26.46132785763176
13,Justin Jefferson,WR,MIN,9.17,1.1109671777143029,306.7758129654763,77.34423872858065,109.66483649910684,197.11097646636944,6.0,27.225188227241617
14,Saquon Barkley,RB,PHI,23.6,1.1748468258588711,302.0480058970258,87.01959745214,107.86758140385136,194.18042449317443,10.0,29.571526351813823
15,Josh Allen,QB,BUF,25.77,1.1663490377428978,402.0522951361837,109.21914815783616,98.95462696837046,303.09766816781325,7.0,30.2943189596167
16,De'Von Achane,RB,MIA,21.49,1.1228529412913613,292.0967161023752,86.07075028360737,97.91629160920075,194.18042449317443,6.0,24.89801505817933
17,Drake London,WR,ATL,13.17,1.1015553403121818,289.58113868311705,75.43107423695402,92.47016221674758,197.11097646636944,11.0,25.11978097193703
18,A.J. Brown,WR,NE,13.73,1.1230968795871792,287.7385796798065,75.22982117108383,90.62760321343704,197.11097646636944,11.0,29.1854893908282
19,Joe Burrow,QB,CIN,44.89,1.2581297953456068,393.643671074453,108.38655210636112,90.54600290663971,303.09766816781325,6.0,29.738535249828885
20,Derrick Henry,RB,BAL,37.64,1.1822328582613155,283.9359764309914,85.30882022781512,89.75555193781696,194.18042449317443,13.0,32.67077344284736
21,Kenneth Walker III,RB,KC,24.95,1.1122357734275097,282.36579601337417,85.16392969481244,88.18537152019974,194.18042449317443,5.0,25.87816563997262
22,Lamar Jackson,QB,BAL,31.84,1.191846818406652,389.7734508752857,108.0071352083926,86.67578270747248,303.09766816781325,13.0,29.661875427789184
23,Nico Collins,WR,HOU,16.0,1.115124990666852,280.95022385298665,74.49488255284864,83.83924738661719,197.11097646636944,8.0,27.468856947296374
24,Omarion Hampton,RB,LAC,25.4,1.112369254780672,275.88398031467875,84.57175536428453,81.70355582150432,194.18042449317443,7.0,23.477070499657767
25,Ashton Jeanty,RB,LV,28.95,1.1282018105288776,275.6453665529739,84.55014003900014,81.46494205979945,194.18042449317443,13.0,22.76249144421629
26,Drake Maye,QB,NE,37.1,1.1854545633178772,380.9228989597332,107.14864933865648,77.82523079191992,303.09766816781325,11.0,24.019164955509925
27,George Pickens,WR,DAL,20.43,1.118719877421897,273.03336043360963,73.65103183562357,75.92238396724017,197.11097646636944,14.0,25.508555783709788
28,Chris Olave,WR,NO,17.37,1.102462462466412,272.83945206354,73.63054641690445,75.72847559717056,197.11097646636944,8.0,26.19301848049281
29,Breece Hall,RB,NYJ,39.52,1.129877345501882,268.21310661468937,83.88352456430661,74.03268212151494,194.18042449317443,13.0,25.267624914442163
30,Kyren Williams,RB,LAR,42.04,1.150008960206374,266.9090272053259,83.76790077411869,72.72860271215148,194.18042449317443,11.0,26.028747433264886
31,Brock Bowers,TE,LV,21.2,1.0777434221865092,227.7987551297884,56.13310845147657,70.10697277659625,157.6917823531921,13.0,23.731690622861056
